年月,地區,信用卡產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新臺幣]
201405,臺灣,衣,專科,298637,810960736
201405,臺灣,衣,高中高職,396062,1107995437
201405,臺灣,衣,其他,366171,1080130290
201405,臺灣,住,博士,20964,98220025
201405,臺灣,住,碩士,215548,998105103
201405,臺灣,住,大學,704523,3339809922
201405,臺灣,住,專科,308300,1510743337
201405,臺灣,住,高中高職,353686,1775883817
201405,臺灣,住,其他,377152,1967410447
201405,臺灣,行,博士,130003,166584010
201405,臺灣,行,碩士,1207010,1419793625
201405,臺灣,行,大學,4282179,4613316560
201405,臺灣,行,專科,2234523,2483561420
201405,臺灣,行,高中高職,3169881,3743242290
201405,臺灣,行,其他,2747732,3265235342
201405,臺灣,文教康樂,博士,34170,314023165
201405,臺灣,文教康樂,碩士,440549,2660952458
201405,臺灣,文教康樂,大學,1593757,8036203313
201405,臺灣,文教康樂,專科,520309,3151880294
201405,臺灣,文教康樂,高中高職,595017,3648370404
201405,臺灣,文教康樂,其他,684763,4624500579
201405,臺灣,百貨,博士,51772,151153195
201405,臺灣,百貨,碩士,617959,1698520287
201405,臺灣,百貨,大學,2305122,6142610954
201405,臺灣,百貨,專科,962415,2577893675
201405,臺灣,百貨,高中高職,1075152,3098428901
201405,臺灣,百貨,其他,1303170,3837557283
201405,臺灣,其他,博士,117822,1842306718
201405,臺灣,其他,碩士,1389670,11650076579
201405,臺灣,其他,大學,5565542,28461844824
201405,臺灣,其他,專科,2582940,11952173053
201405,臺灣,其他,高中高職,3601818,14225575544
201405,臺灣,其他,其他,3009712,16300304380
201406,臺灣,食,博士,135932,175432122
201406,臺灣,食,碩士,1268911,1616725815
201406,臺灣,食,大學,4297656,5358394094
201406,臺灣,食,專科,2163828,2542472366
201406,臺灣,食,高中高職,2636942,3267481913
201406,臺灣,食,其他,2719431,3558612071
201406,臺灣,衣,博士,9760,32169641
201406,臺灣,衣,碩士,146756,382234993
201406,臺灣,衣,大學,659640,1640405371
201406,臺灣,衣,專科,296188,767571197
201406,臺灣,衣,高中高職,389554,1051470639
201406,臺灣,衣,其他,367086,1040175722
201406,臺灣,住,博士,21640,102150217
201406,臺灣,住,碩士,217840,1005958799
201406,臺灣,住,大學,708850,3335087375
201406,臺灣,住,專科,316024,1525993283
201406,臺灣,住,高中高職,365688,1853166770
201406,臺灣,住,其他,387285,2005722141
201406,臺灣,行,博士,124986,160500368
201406,臺灣,行,碩士,1181552,1400106541
201406,臺灣,行,大學,4240176,4577783191
201406,臺灣,行,專科,2230993,2501914528
201406,臺灣,行,高中高職,3178147,3809771841
201406,臺灣,行,其他,2749118,3304601476
201406,臺灣,文教康樂,博士,37355,369716527
201406,臺灣,文教康樂,碩士,453645,2798903992
201406,臺灣,文教康樂,大學,1623099,8027709987
201406,臺灣,文教康樂,專科,533719,3191109509
201406,臺灣,文教康樂,高中高職,605510,3481252927
201406,臺灣,文教康樂,其他,697327,4590453649
201406,臺灣,百貨,博士,52188,134550778
201406,臺灣,百貨,碩士,608851,1555795180
201406,臺灣,百貨,大學,2248145,5585456417
201406,臺灣,百貨,專科,949824,2424404411
201406,臺灣,百貨,高中高職,1051836,2871677061
201406,臺灣,百貨,其他,1279355,3571608351
201406,臺灣,其他,博士,109005,697538329
201406,臺灣,其他,碩士,1289808,5572958473
201406,臺灣,其他,大學,5289243,18135001417
201406,臺灣,其他,專科,2504473,8731110242
201406,臺灣,其他,高中高職,3547260,12351635740
201406,臺灣,其他,其他,2916577,11195869462
201407,臺灣,食,博士,148282,186789121
201407,臺灣,食,碩士,1395025,1731767365
201407,臺灣,食,大學,4777174,5831340797
201407,臺灣,食,專科,2435201,2883460658
201407,臺灣,食,高中高職,2984326,3733685402
201407,臺灣,食,其他,3051581,3952903899
201407,臺灣,衣,博士,10914,30482284
201407,臺灣,衣,碩士,156231,391171604
201407,臺灣,衣,大學,690553,1675402785
201407,臺灣,衣,專科,315594,799103909
201407,臺灣,衣,高中高職,405970,1050432702
201407,臺灣,衣,其他,379348,1042430132
201407,臺灣,住,博士,25485,116087799
201407,臺灣,住,碩士,250239,1169612551
201407,臺灣,住,大學,798838,3865745550
201407,臺灣,住,專科,357485,1767478943
201407,臺灣,住,高中高職,407293,2132020415
201407,臺灣,住,其他,428859,2227086575
201407,臺灣,行,博士,129412,168551820
201407,臺灣,行,碩士,1247698,1459936018
201407,臺灣,行,大學,4470079,4807804347
201407,臺灣,行,專科,2354484,2634884654
201407,臺灣,行,高中高職,3309078,3945636091
201407,臺灣,行,其他,2870319,3465593889
201407,臺灣,文教康樂,博士,40227,358554969
201407,臺灣,文教康樂,碩士,457838,2851836343
201407,臺灣,文教康樂,大學,1534622,8009117506
201407,臺灣,文教康樂,專科,583710,3184846774
201407,臺灣,文教康樂,高中高職,608337,3350728006
201407,臺灣,文教康樂,其他,716672,4444842625
201407,臺灣,百貨,博士,54107,143254617
201407,臺灣,百貨,碩士,631030,1560537686
201407,臺灣,百貨,大學,2336574,5600719143
201407,臺灣,百貨,專科,986141,2421936185
201407,臺灣,百貨,高中高職,1081928,2820129604
201407,臺灣,百貨,其他,1334618,3528724393
201407,臺灣,其他,博士,115729,410971694
201407,臺灣,其他,碩士,1278231,4034768186
201407,臺灣,其他,大學,5140323,15759436152
201407,臺灣,其他,專科,2626699,8277192987
201407,臺灣,其他,高中高職,3523639,11771438121
201407,臺灣,其他,其他,2956216,10031323439
201408,臺灣,食,博士,155919,200305386
201408,臺灣,食,碩士,1491304,1961613403
201408,臺灣,食,大學,5073772,6680280225
201408,臺灣,食,專科,2550823,3276871554
201408,臺灣,食,高中高職,3145301,4277512032
201408,臺灣,食,其他,3205346,4461362437
201408,臺灣,衣,博士,10435,27070630
201408,臺灣,衣,碩士,155561,383466091
201408,臺灣,衣,大學,682558,1609866864
201408,臺灣,衣,專科,314395,773366044
201408,臺灣,衣,高中高職,407274,1028870856
201408,臺灣,衣,其他,376652,1010420511
201408,臺灣,住,博士,26285,113924941
201408,臺灣,住,碩士,258851,1152319650
201408,臺灣,住,大學,807480,3669063023
201408,臺灣,住,專科,354469,1648309131
201408,臺灣,住,高中高職,394610,1888053628
201408,臺灣,住,其他,428014,2109605822
201408,臺灣,行,博士,131886,164616364
201408,臺灣,行,碩士,1289669,1474738176
201408,臺灣,行,大學,4572979,4782004263
201408,臺灣,行,專科,2379823,2586355168
201408,臺灣,行,高中高職,3318757,3822116519
201408,臺灣,行,其他,2909284,3371544455
201408,臺灣,文教康樂,博士,42383,369847109
201408,臺灣,文教康樂,碩士,529819,3031681448
201408,臺灣,文教康樂,大學,1943289,8948084173
201408,臺灣,文教康樂,專科,636193,3753886291
201408,臺灣,文教康樂,高中高職,724708,4009705112
201408,臺灣,文教康樂,其他,820525,4931936527
201408,臺灣,百貨,博士,54596,146658303
201408,臺灣,百貨,碩士,643435,1614407811
201408,臺灣,百貨,大學,2360954,5813009761
201408,臺灣,百貨,專科,970266,2402733718
201408,臺灣,百貨,高中高職,1060682,2831359109
201408,臺灣,百貨,其他,1302008,3471325219
201408,臺灣,其他,博士,112872,418526205
201408,臺灣,其他,碩士,1333241,4227961284
201408,臺灣,其他,大學,5435070,16022710729
201408,臺灣,其他,專科,2517479,8115325433
201408,臺灣,其他,高中高職,3540003,11780482485
201408,臺灣,其他,其他,2924003,10173264143
201409,臺灣,食,博士,141734,177584746
201409,臺灣,食,碩士,1321082,1655274648
201409,臺灣,食,大學,4491633,5553808180
201409,臺灣,食,專科,2249542,2637259729
201409,臺灣,食,高中高職,2716935,3349060033
201409,臺灣,食,其他,2836388,3648410650
201409,臺灣,衣,博士,8671,25558493
201409,臺灣,衣,碩士,130985,354792362
201409,臺灣,衣,大學,603475,1561962061
201409,臺灣,衣,專科,268283,725080743
201409,臺灣,衣,高中高職,355640,987670690
201409,臺灣,衣,其他,331625,1003676880
201409,臺灣,住,博士,21545,94836066
201409,臺灣,住,碩士,212131,980902792
201409,臺灣,住,大學,691945,3199897699
201409,臺灣,住,專科,303568,1414049700
201409,臺灣,住,高中高職,349794,1663952215
201409,臺灣,住,其他,375915,1883747574
